question,answer
420 + 252,672
202 × 4,808
327 − 245,82
428 × 4,1712
148 − 146,2
590 × 3,1770
938 − 455,483
115 × 5,575
264 + 721,985
880 ÷ 8,110
509 − 469,40
729 × 2,1458
998 + 396,1394
144 ÷ 8,18
382 + 720,1102
721 × 8,5768
311 + 959,1270
395 × 5,1975
358 − 123,235
900 ÷ 9,100
398 − 235,163
397 × 2,794
935 − 245,690
880 × 5,4400
447 + 296,743
96 ÷ 3,32
325 − 277,48
360 ÷ 6,60
826 + 344,1170
948 × 9,8532
725 − 361,364
952 × 9,8568
229 − 215,14
232 ÷ 8,29
473 + 504,977
612 × 5,3060
969 − 797,172
410 × 8,3280
139 − 104,35
350 × 9,3150
